Affiliation Number,Name,Head/Principal Name,Status,Affiliated up to,Address,Phone No.,Email,Website
2133056,C.L.M. PUBLIC SCHOOL,Mr.Arun Kaushik,Secondary School,31/03/2026,"AEMANABAD, KNOWLEDGE PARK-V, SECTOR-1, GREATER NOIDA (WEST) ,201306","0 ,9911677483",schoolclm@yahoo.com,http://clmpublicschool.edu
2430007,CAESAR SCHOOL,DILIP KUMAR SARKAR,Senior Secondary,31/03/2025,"MAL P O MAL JALPAIGURI DISTT WEST BENGAL ,735221","3562 ,256946",dilipsarkar52@gmail.com,
2132473,CENTRAL PUBLIC SCHOOL,DIVYA,Senior Secondary,31/03/2026,"R-A-J/K-8/PS-1 RAJANI KHAND-8 ,SHARDA NAGAR YOJANA, RAEBARELI ROAD ,226012","0522 ,2447721",join-tnp@rediff.com,http://www.cpslko.co.in/
330248 ,CHAKRAPANI MODEL PUBLIC(CMP) SCHOOL,ANIL KUMAR JHA,Secondary School,31/03/2023,"VILLAE+ POST OFFICE- HISSAR,VIA KHIRHAR ,847230","6271 ,288151",PRINCIPALAKJHACMPSCHOOL@GMAIL.COM,
1930475,CHANDRAKANTHI PUBLIC SCHOOL,Karunambikeswari,Senior Secondary,31/03/2025,"TEX PARK ROAD, CIVIL AERODROME POST, DISTT COIMBATORE, TAMILNADU ,641014","0422 ,2934122",principal@chandrapublic.edu.in,http://www.chandrapublic.com
2130092,D A V PUBLIC SCHOOL,Dr.D K Mishra,Senior Secondary,31/03/2022,"FEROJE GANDHI UNCHAHAR THERMAL POWER PROJECT UNCHAHAR RAEBARELI ( UTTAR PRADESH ) ,229406","0531 ,277028",principaldavucr@rediffmail.com,davunchahar.com
2730485,D C CONVENT SCHOOL,ANJU,Secondary School,31/03/2024,"RZ-115 D SHIV ENCLAE CHAON ROAD NAJAFGARH NEW DELHI ,110043","011 ,60010001",anjudagarkhatri@gmail.com,
6630050,DELHI PRIVATE SCHOOL,RASHMI NANDKEOLYAR,Senior Secondary,31/03/2023,"PO BOX 38321 JABEL ALI DUBAI UAE ,","9714 ,8821848",PRINCIPAL@DPSDUBAI.COM,
430227 ,DHAVAL STRAED WORLD SCHOOL,Abhishek Patel,Senior Secondary,31/03/2019,"JETPUR SOMNATH HIGHWAY RING ROAD, TATKAL HANUMAN CHOWK, PEDHLA JETPUR, DISTT RAJKOT ,360370","2823 ,225901",ajpatel152@gmail.com,http://www.dhavalacademy.org/
6630051,DUNES INTERNATIONAL SCHOOL,PARAMJIT AHLUWALIA,Senior Secondary,31/03/2025,"PO BOX NO 5121 ABU DHABI UAE ,263647","0097 ,025527527",info@dunesinternationalschool.com,http:\\www.dunesinternationalschool.com
6630043,EAST COAST ENGLISH SCHOOL,MRS SUJA BOBBY,Secondary School,31/03/2019,"P B NO 10324 KHORFAKKAN SHARJAH UAE ,456006","009719 ,2382286",mrsmtapovana@rediffmail.com,http://www.nitte.ac.in
1530101,EAST COAST RAILWAEY MIXED HIGHER SEC. SCHOOL,SUKANTI MOHANTY,Secondary School,31/03/2025,"KHURDA ROAD, JATNI, KHURD, ORISSA ,752050","0674 ,2372792",principal_eastcoastrailwaymhss@yahoo.co.in,
2131150,G. B. S. PUBLIC SCHOOL,Antim Singh,Senior Secondary,31/03/2022,"GORA BAZAR, CIVIL LINES, RAEBARELI ,229001","0535 ,2700318",antimsingh65@gmail.com,
6630046,GEMS OUR OWN INDIAN SCHOOL,LALITHA SURESH,Senior Secondary,31/03/2022,"PO BOX 26845 DUBAI UAE ,636002","9714 ,3391188",lalitha.s_ois@gemsedu.com,
6630099,"GLOBAL INDIAN INTERNATIONAL SCHOOL LLC, DUBAI",MR. RAMESH MUDGAL,Secondary School,31/03/2022,"GLOBAL INDIAN INTERNATIONAL SCHOOL HESSA STREET AL BARSHA SOUTH DUBAI, UAE ,212452",",0552963820",dubaigiis@gmail.com,http://ae.globalindianschool.org/dubai
2520032,GOVT  SECONDARY SCHOOL,M RAJESHWARAN,Secondary School,31/03/2025,"SHIBPUR AERIAL BAY P.O NTH ANDAMAN A & N ISLANDS ,744202","3192 ,272389",gssshibpur@gmail.com,
2520061,GOVT. SECONDARY SCHOOL,B V R REDDY,Secondary School,31/03/2024,"KERALAPURAM DIGLIPUR AERIAL BAY PO NTH ANDAMAN A & N ISLANDS ,744202","0 ,0",bvrreddy91@gmail.com,
6630067,GRACE VALLEY INDIAN SCHOOL,MOHAMED IBRAHIM,Senior Secondary,31/03/2025,"PO BOX 67378, AL AIN, UAE 67378 ,067638","0097 ,1337805511",gvis.cbse@gmail.com,http://www.gracevalleyschool.com
1930401,GRD PUBLIC SCHOOL,R Srimathy Naidu,Secondary School,31/03/2021,"S.F.NO.450/1, AVINASHI ROAD , CIVIL AERODROME PO, COIMBATORE ,641014","0422 ,2591862",srimathyrnaidu@gmail.com,
1931005,GRD PUBLIC SCHOOL,MRS. R SRIMATHY NAIDU,Senior Secondary,31/03/2022,"450/1 AVANASHI ROAD, CIVIL AERODROME POST ,641014","1282 ,04222591862",grdpublicschool@grd.edu.in,http://grd.org
2133096,GST GLOBAL SCHOOL,MR. S K MISHRA,Senior Secondary,31/03/2023,"PYAREPUR, PO. HARCHANDPUR, DISTRICT - RAE BARELI ,229303",",7800010878",gstglobalschool@gmail.com,http://www.gstglobalschool.edu.in
2133143,GURUKUL PUBLIC SCHOOL,MRS. BEBI SINGH,Senior Secondary,31/03/2024,"VILLEGE-PURASI, HALOR-RAEBARELI ,229103",",9452493548",connectwithgurukul@gmail.com,https://gurukulpublicschool.wordpress.com/
230252 ,GYAN BHARATI PUBLIC SCHOOL,MR. GOLAP KALITA,Secondary School,31/03/2023,"SARALABARUAH CHUCK SOOTAE 784175 ,784175",",03715281825",bubu.gba@gmail.com,gbpssootea.com
6630079,HABITAT PRIVATE SCHOOL,MR. BALA REDDY AMBATI,Senior Secondary,31/03/2025,"POST BOX 3322 , AJMAN, UAE ,003322","0097 ,97167315151",principal@ajm.habitatschool.org,www.habitatschool.org
2133450,INDUS INTERNATIONAL ACADEMY,MRS. NIHARIKA CHATURVEDI,Secondary School,31/03/2023,"PURSENI, NH 24-B, RAEBARELI ROAD, MOHANLALGANJ, LUCKNOW-226301 ,226301",",7607555743",info@globaledu.org.in,http://www.indusacademy.in
2132408,INNOVATIVE MINDS ACADEMY,MR. RADHEY SHYAM PANDEYA,Senior Secondary,31/03/2026,"KURAWAN, PRABHAT NAGAR, RAEBARELI ROAD, SOHAWAL, MASODHA, FAIZABAD(AMBEDKAR NAGAR) UTTAR PRADESH ,224001","5278 ,9415144984",jbadayboarding@gmail.com,http://www.jbadb.weebly.com
6630052,INTERNATIONAL INDIAN SCHOOL,Ms. QURAT UL AIN,Senior Secondary,31/03/2026,"PO BOX 5665 AJMAN UAE ,500001","0971 ,558403796",principal@iisajman.org,iisajman.org
2131912,J. P. S. PUBLIC SCHOOL,MEENA SINGH ,Senior Secondary,31/03/2025,"NEW RANA NAGAR, POLICE CHAWANI, KANPUR ROAD, RAEBARELI ,229001","0535 ,2213695",meenasinghjps@gmail.com,http://www.jpspublicschool.com
2140014,JAWAHAR NAVODAYA VIDYALAYA,DR AMAR NATH RAI,Senior Secondary,31/03/2023,"BAWAN BUJURG,BALLA,RAEBARELI, UTTAR PRADESH ,229306","0535 ,2635530",amarnathrai8@gmail.com,
2130325,KASHI BRIGHT ANGEL'S SECONDARY SCHOOL,RADHA PANDEY,Senior Secondary,31/03/2023,"LALGANJ DISTT RAE BAREILLI RAE BAREILLI UTTAR PRADESH ,229206","5315 ,246660",sarlakbas@gmail.com,
2100112,KENDRIYA VIDYALAYA,.,Senior Secondary,31/03/2020,"MCF, RAE BARELI, PRASHANTI PARISAR, MODERN RAIL COACH FACTY, LALGANJ, RAE BARELI-229 206. ,",",",,
2600006,KENDRIYA VIDYALAYA,SMT S K BHATIA,Senior Secondary,31/03/2021,"'K' AREA ZIRAKPUR VIA AERODROME CHANDIGARH ,160003","01762 ,270844",kram_kvs@hotmail.com,http://www.kv1chakeri.org
2100111,KENDRIYA VIDYALAYA,MR. RAM KUMAR BHARTI,Senior Secondary,31/03/2022,"SHIVGARH, MAHARAJGANJ RAOD,SHIVGARH, DISTT. RAEBARELI-229308 (U.P.) ,229308",",05352442285",kvshivgarh2014@gmail.com,www.kvshivgarh.edu.in
2100053,KENDRIYA VIDYALAYA,G K DWIVEDI,Senior Secondary,31/03/2025,"SANJAY GANDHI POST GRADUATE INSITITUTE OF MEDICAL SCIENCE RAE BARELI ROAD LUCKNOW UTTAR PRADESH ,226014","0522 ,2668083",dwivedigopal@rediffmail.com,
2100057,KENDRIYA VIDYALAYA,SHRI SATYA DEV MISHRA,Senior Secondary,31/03/2000,"I T I DOORBHASH NAGAR RAEBARELI UTTAR PRADESH ,229010",",3142",,
400003 ,KENDRIYA VIDYALAYA NO 2,ALICE PURNIMA KACHCHAP,Senior Secondary,31/03/2010,"AERODRAME ROAD AHMEDABAD CANTT GUJARAT ,380003","079 ,22867681",apkachchap@reddifmail.com,
6630055,LEADERS PRIVATE SCHOOL,MS SUNITA KANT,Senior Secondary,31/03/2026,"PO BOX 45094 SHARJAH UAE ,608602","011 ,27611520",goyalgbp99@hotmail.com,
2131958,LUCKNOW PUBLIC SCHOOL,Manisha,Senior Secondary,31/03/2025,"VRINDAVAN YOJANA RAEBARELI ROAD ,226029","0522 ,2443737",djp23238@gmail.com,
2130828,LUCKNOW PUBLIC SCHOOL,PRAMOD KUMAR SINGH,Senior Secondary,31/03/2022,"NAV ABAD ABUL HASAN NADAVI COLONY AHIYA RAIPUR RAE BARELI UP ,229001","0535 ,2000665",lps.rbl11@gmail.com,
2131196,LUCKNOW PUBLIC SCHOOL,RASHMI PATHAK,Senior Secondary,31/03/2026,"A-BLOCK, SOUTH CITY, RAEBARELI ROAD, LUCKNOW ,226002","0522 ,2441591",rashmi10708@gmail.com,http://www.lpseducation.com
1130991,MAEER MIT PUNES SHREE SARASWATI PUBLIC SCHOOL,MR. TALEWAD S. B.,Secondary School,31/03/2023,"M.I.T. CAMPUS,NAGZARI AREA, SHEPWADI ,431517",",09730035873",mitgroupambajogai@gmail.com,
1130434,MAEERS VISHWASHANTI GURUKUL NIVASI SCHOOL,K SUNEETHA,Secondary School,31/03/2026,"AT.POST WAKHARI,AKLUJ-PANDHARPUR ROAD,DIST SOLAPUR ,413304","2186 ,9272206100",principal.pandharpur@mitvgschools.edu.in,http://www.mitvgschools.edu.in
1131086,MAEERS VISHWASHANTI GURUKUL SCHOOL,MR. K V N GANESH KUMAR,Secondary School,31/03/2024,"MAEERS VISHWASHANTI GURUKUL SCHOOL, SURVEY NO. 624A, MAUJE DIGRAJ ROAD, NEAR DHANUNJAY GARDEN, BHORA MHASOBA CHOWK, KARNAL, SANGLI ,416416",",09325255818",principal.vgssangli@mitvgschools.edu.in,https://www.mitvgschools.edu.in/sangli
1130907,MAEERS VISHWASHANTI GURUKUL SCHOOL,MRS. DHANNYA CHANDRAN,Secondary School,31/03/2022,"127 1A PAUD ROAD KOTHRUD PUNE ,411038",",02025442166",principal.kothrud@mitvgschools.edu.in,http://www.mitvgschools.edu.in
1130777,MAEERS VISHWASHANTI GURUKUL SCHOOL LONI KALBHOR,Mrs.Sumana Mandal,Secondary School,31/03/2026,"MIT CAMPUR,RAJBAUG, LONI KALBHOR, PUNE SOLAPUR ROAD, PUNE-412201. ,421201",",02039210116",principal.vgsloni@mitvgschools.edu.in,http://www.mitvgschools.edu.in/loni/
2131224,MAPLES ACAEMY,GARIMA VERMA,Senior Secondary,31/03/2026,"KANDHLA ROAD, BUDHANA, MUZAFFARNAGAR ,250001","0139 ,9219556622",drgarimaverma@gmail.com,
1930609,MDN FUTURE SCHOOL,MRS.PARIMALAM.B,Senior Secondary,31/03/2026,"7/141, WHITE HOUSE, KADAMBADI, SULUR AERO, ,641401","0422 ,4222684433,",info@mdnfutureschoolsulur.com,http://www.mdnfutureschoolsulur.com
6630044,MODERN INDIAN SCHOOL,THOMAS ABRAHAM,Senior Secondary,31/03/2025,"P O BOX 11870 DIBBA FUJAIRAH UAE ,284001","971 ,92446520",abrahamthomas28@gmail.com,
2133455,MOUNT LITERA ZEE SCHOOL,.,Senior Secondary,31/03/2023,"ELDECO-2, SANSKRITI-4, RAKSHA KHAND, RAEBAREILY ROAD, LUCKNOW UTTAR PRADESH,LUCKNOW , 226014 ,",",9415106117",,
2430234,NARAYANA SCHOOL ANDAL,MRS. M.MAHEEN FATHIMA,Senior Secondary,31/03/2023,"SUJALAAM THE SKY CITY, BENGAL AEROTROPOLIS PROJECT LTD ,713321",",8610484331",WBANDAL.ETECHNO@NARAYANAGROUP.COM,NARAYANAWESTBENGAL.COM
1130325,NEW HIZON SCHOLARS SCHOOL,Tanujaa Bhat,Senior Secondary,31/03/2024,"PLOT-05, SAECT-13, AIROLI, NAVI MUMBAI ,400708","022 ,27793509",tanuja.bhat@newhorizonsms.com,
6630047,NEW INDIAN MODEL SCHOOL,NUSKY JAMAL ABDUL NAZAR,Senior Secondary,31/03/2021,"PO BOX 3780 SHARJAH UAE ,263136","971 ,65228035",principal@nimsshj.com,
2133001,NEW STANDARD PUBLIC SCHOOL,MRS. ANITA MAURYA,Senior Secondary,31/03/2023,"VILLAGE- BAGAHA, POST- MATKA, SALON, RAEBARELI ,229127",",05311212700",principalnspss@gmail.com,http://www.nsscindia.org
6630063,OUR OWN ENGLISH HIGH SCHOOL,SRIVALSAN MURUGAN,Senior Secondary,31/03/2024,"SHARJAH - BOYS BRANCH PO BOX 150807 SHARJAH, UAE ,263139","971 ,65355227",srivalsan.m_oob@gemsedu.com,http://www.gemsourownenglishboys-sharjah.com/
6630054,OUR OWN HIGH SCHOOL,Sanjeev K Jolly,Senior Secondary,31/03/2023,"PO BOX 35519 AL WARQA DUBAI UAE ,","9714 ,2800077",sanjeev.j_oow@gemsedu.com,http://www.gemsoo-alwarqa
330351 ,PATNA ST. MICHAELS SCHOOL,MR. ANIL KUMAR ARUN,Secondary School,31/03/2025,"ASHOK NAGAR ROAD NO. 3 KANKARBAGH ,800020","0612 ,2382205",psmspatna@gmail.com,www.patnastmichael.com
430160 ,PRINCE ASHOKRAJE GAEKWAD SCHOOL,P VARADARAJAN,Senior Secondary,31/03/2022,"DHAIRYA PRASAD PALACE, LALBAUG MAIN ROAD, MANJALPUR ,390011","0265 ,2662794",pargschool@yahoo.com,http://www.pargs.g
1630238,RAEKOT PUBLIC SCHOOL,RAJDEEP KAUR,Senior Secondary,31/03/2023,"NEAR KUTBA GATE RAEKOT DISTT LUDHIANA PUNJAB ,141109","1624 ,264705",rps.rajdeepkaur@gmail.com,
2130883,RAI DEVI RAM KARAN PUBLIC SCHOOL,SHIV PRASAD VERMA,Senior Secondary,31/03/2022,"BACHHRAWAN RAE BARELI ,229301","0535 ,6814328",principal.rdrk@gmail.com,
6630077,RAJAGIRI INTERNATIONAL SCHOOL,Arundhati Rawat,Senior Secondary,31/03/2025,"P.O BOX - 62012, AL WARQA 1, DUBAI, UAE ,683104","971 ,42800691",principal@risdubai.org,http://www.risdubai.g
2120012,RAJKIYA ASHRAM PADDHATI VIDYALAYA,PRINCIPAL,Senior Secondary,31/03/2022,"MOHANMMADABAD SALON RAEBARELI UP ,",",",,
2130532,RAMAEESH INTERNATIONAL SCHOOL,SHIKHA SINGH,Senior Secondary,26/07/2017,"3 INSTITUTIONAL AREA KASNA ROAD GREATER NOIDA UTTAR PRADESH ,201310","0120 ,2322658",shikhasingh05@yahoo.in,
2132907,ROYAL PUBLIC SCHOOL,Mrs.SHWETA SRIVASTAVA,Secondary School,31/03/2025,"KANDAWAN, BACHHRAWAN RAEBARELI ,229001",",9889375416",bcnrps@gmail.com,http://rpsbachhrawan.com
330109 ,S R DAV PUBLIC SCHOOL,NIRAJ KUMAR SINGH,Senior Secondary,31/03/2025,"CHUNAPURA ROAD CHUNAPUR AERODROME DISTT PURNEA BIHAR ,854303","6454 ,227167",nirajdav@rediffmail.com,
2132706,S.J.S. PUBLIC SCHOOL BACHHRAWAN,MRS. SUDHA SINGH,Senior Secondary,31/03/2022,"SJS POINT RAEBARELI-LUCKNOW NATIONAL HIGHWAY BACHHRAWAN DIST-RAEBARELI ,229001",",0535-2203843,",sjsbachrawan@gmail.com,http://www.sjsbachhrawan.com
6630076,SABARI INDIAN SCHOOL,MRS.LATHA VENKATESWAR,Secondary School,31/03/2021,"30B STREET, AL WUHEIDA AREA,NEAR CENTURY MALL, DUBAI,UAE. ,088965",",97142505806",principal@sisdubai.com,http://www.sisdubai.com
930690 ,SACRED HEART CONVNET SCHOOL,FLEVY DAVID,Senior Secondary,31/03/2023,"CAENGALAM EAGI PO KOTTAYAM KERALA ,686585","0481 ,2705080",flevy_david@yahoo.co.in,
2132607,SANSKAR  GLOBAL  SCHOOL,MRS. SMIRITI SINGH,Senior Secondary,31/03/2022,"RAEBARELI ROAD, TEUNGA BAZAR, ,230001","91 ,05342,",info@sanskarglobalschool.com,http://www.sanskarglobalschool.com
2133111,SD PANDEY MEMORIAL INTER COLLEGE,MR.VAIBHAV VANTOO,Senior Secondary,31/03/2026,"DEEGHA KANTA SALON RAEBARELI ,229305",",9648504000",sdpcbse@gmail.com,
2220148,SHANTI DEVA VIDYALAYA,SASMITA PANDA,Secondary School,31/03/2009,"UPPAER GONPA BOMDILA, WEST KEMAENG DISTT. ARUNACHAL PRADESH ,790001","3782 ,222719",grismita@yahoo.com,
6630102,SHARJAH INDIAN SCHOOL BRANCH JUWAIZA,MR. ANTHONY JOSEPH,Secondary School,31/03/2022,"POST BOX NO. 2324 SHARJAH UAE ,000000",",97167452626",boys@sissharjah.com,http://www.sissharjah.com
6630075,SHINING STAR INTERNATIONAL SCHOOL,CHITRAKALA RAMACHANDRAN,Senior Secondary,31/03/2022,"SHABIA-12, MUSSAFAH, ABU DHABI POST BOX NO 109242, UAE ,110001","0091 ,025596444",shiningstarprincipal@gmail.com,
1030062,SHREE BHARTIYA SANSKRITI SHIKSHA SANSTHAN,Sudhir Mehrolia,Senior Secondary,31/03/2025,"SHRI VISHWANATH DHAM SANWER ROAD VILL.AIMA BADODIAEMA DISTT INDORE MADHYA PRADESH ,453551","7321 ,226453",smehrolia805@gmail.com,www.vishwanathdham.org
2131904,SJS PUBLIC SCHOOL,SABA KAUSAR,Senior Secondary,31/03/2025,"GAURIGANJ SULTANPUR - RAE BARELI HIGHWAY, AMETHI CH. SHAHUJI MAHARAJ NAGAR, ,227409","91 ,7839987218",saba.sjs50@gmail.com,
2133656,SJS PUBLIC SCHOOL MAHARAJGANJ,MRS. RASHMI MISHRA,Secondary School,31/03/2024,"OPPOSITE FOREST DEPARTMENT, DISTT RAEBARELI ,229306",",05352203843",SJSMAHARAJGANJ@GMAIL.COM,WWW.SJSMAHARAJGANJ.COM
2131499,"SJS PUBLIC SCHOOL,",ANJU SINGH,Senior Secondary,31/03/2023,"LALGANJ, RAEBARELI-KANPUR STATE HIGHWAY , LALGANJ , RAEBARELI, U.P. ,229206","0535 ,2203843",anju.sjs@gmail.com,http://www.sjspublicschool.in
2131552,"SJS PUBLIC SCHOOL, UNCHAHAR, RAEBARELI",HENA KAUSAR SIDDIQUE,Senior Secondary,31/03/2024,"S.J.S.PUBLIC SCHOOL, UNCHAHAR,S.J.S. POINT, RAEBARELI-ALLAHABAD STATE HIGHWAY, UNCHAHAR, RAEBARELI ,229404","91 ,7839987208",principalsjsunchahar@gmail.com,
1730654,SL. KAELEY PENGUIN KIDS SCHOOL,RENU RATHORE,Secondary School,31/03/2022,"I-5, I-6, INSTITUTIONAL AREA BHIWADI, TEHSIL - TIJARA ,301019","1493 ,600707",rathore.renu8@gmail.com,http://www.thepenguinschool.com
6630069,SPRINGDALE INDIAN SCHOOL SHARJAH,MR. PATTAN MOULALI KHAN,Secondary School,31/03/2026,"SPRINGDALE INDIAN SCHOOL SHARJAH - P.O BOX. 27060 UAE. ,027060","0971 ,065243335",principal@springdaleindianschool.com,www.springdaleindianschool.com
2133445,ST JOHN VIANNEY SCHOOL,MR. FR RONALD RODRIGUES,Secondary School,31/03/2023,"1B/SSS-101, VRINDAVAN YOJNA, UTTERTIA, RAEBARELI ROAD, LUCKNOW, UP ,226029",",9129191848",johnmaryvianney2018@gmail.com,http://www.stjohnvianneylucknow.com
6630049,ST MARY'S CATHOLIC HIGH SCHOOL,ARUL SEKAR,Senior Secondary,31/03/2021,"PO BOX 1665 FUJAIRAH UAE ,","971 ,092281183",stmarysfujhm@yahoo.com,
1130394,ST MICHAEL'S SCHOOL,NONDITA DSOUZA,Secondary School,31/03/2025,"RALLI VILLA, SHOLAPUR ROAD, AHMEDNAGAR, MAHARASHTRA PIN CODE 414001 ,414001","0241 ,2321529",nondita66@hotmail.com,
130176 ,ST MICHAEL'S SCHOOL,Mrs. Shital Sharma,Secondary School,31/03/2022,"5-564/22 AMBEDKAR NAGAR OLD ALWAL SECUNDERABAD ANDHRA PRADESH ,500010","040 ,27862624",stmichaelsalwal@gmail.com,
2730089,ST MICHAEL'S SCHOOL,Sabu Joseph,Senior Secondary,31/03/2025,"3 PUSA ROAD NEW DELHI ,110005","011 ,25787987",michaelpr1980@gmail.com,
1930472,ST MICHAELS ACADEMY,Susun Alfred,Senior Secondary,31/03/2023,"41 SOUTH STREET KARUVELANGADAI, NAGAPATTINAM,TAMILNADU ,611102","4365 ,221090",susun.stmichaels@gmail.com,http://www.stmichaelsakademy.com
1030213,ST MICHAELS HIGHER SECONDARY SCHOOL,SALOME CHOWFIN,Senior Secondary,31/03/2023,"AMOUDHA, DISTT SATNA, MADHYA PRADESH ,485001","7672 ,222224",chowfinsalome@gmail.com,
2131938,ST MICHAELS SCHOOL,NILADRI SEKHAR BHUNIA,Senior Secondary,31/03/2020,"VILL:KARIHARA PO BERUWARA ,277304","0594 ,266147",niladri80.bhunia@gmail.com,http://www.stms.co.in
3430333,ST MICHAELS SCHOOL,Chhotulal Prajapati,Secondary School,31/03/2021,"AT & PO - CHHOTA MURI ,835101","0652 ,244366",clprajapati500@gmail.com,http://www.stmschoolmuri.com
1031232,ST MICHAELS SCHOOL,MRS. VANDANA VISHWAKARMA,Middle Class,31/03/2024,"SARLA NAGAR ROAD SONWARI MAIHAR ,485771",",6260480447",stmichaelsmaihar@gmail.com,www.stmichaelsmaihar.in
330684 ,ST MICHAELS SCHOOL LALGANJ,PRAMOD KUMAR,Secondary School,31/03/2024,"BUDH VIHAR, MATHURAPURGANJ, LALGANJ, VAISHALI ,844121","91 ,9204529379",stmichaelschool98@gmail.com,http://www.xyz.com
2131614,ST. AERJAY PUBLIC SCHOOL,S P OJHA,Senior Secondary,31/03/2022,"VILL MACHKAULI, KURJA ROAD, DISTT BULANDSHAHR, UTTAR PRADESH ,203001","0573 ,224476",sriprakashojha@gmail.com,
330753 ,ST. MICHAEL PUBLIC SCHOOL,MissNeha Kumari,Secondary School,31/03/2025,"VPO DESARI ,844504",",06229231761",publicschoolstmichael@gmail.com,
3330104,ST. MICHAEL'S ENGLISH MEDIUM SCHOOL,SUSHIL EKKA,Senior Secondary,31/03/2024,"RAMBHATA, RAIGARH P.O., DISTT RAIGARH CHHATTISGARH-496001 ,496001","7762 ,232151",sushilrdekka@gmail.com,http://www.stmichsch.com
